Athlete_Name,Total_Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Pole_Vault,Discus,Javelin,1500m,Source_URL
Kale Hobart,7580,10.66,7.33,12.83,1.95,50.21,14.49,4.35,38.37,53.80,289.05,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Gage Huyser,6750,11.05,6.85,11.05,1.74,50.36,14.8,4.35,34.24,39.62,289.34,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Gavin Smith,6699,11.32,6.84,12.05,1.80,51.81,15.27,4.25,33.47,45.56,292.72,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Landon Pote,6321,11.16,6.25,11.06,1.95,53.59,15.53,3.95,33.35,40.06,305.69,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Drew Mallett,6239,10.94,6.68,11.43,1.74,51.82,16.55,3.85,30.12,43.36,303.77,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Connor McCormick,6117,11.42,6.10,10.45,1.80,52.97,15.86,4.25,25.76,44.59,295.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Hayden Long,6094,11.18,6.52,12.51,1.74,53.02,16.08,4.05,43.45,19.12,322.68,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jeff Odamtten,5879,10.89,6.55,12.72,1.80,50.95,16.38,0,37.88,42.61,321.07,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Amos Anderson,5837,11.34,6.39,10.25,1.74,54.84,17.09,4.25,28.94,35.92,299.1,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Kaden Foglesong,5803,11.11,6.32,11.93,1.74,55.69,16.09,3.85,28.87,38.57,330.19,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
