Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Antonio Penalver,8306,11.2,7.55,17.32,2.07,50.68,14.79,47.5,4.8,55.98,271.21,https://www.decathlon2000.com/4634/alhama-de-murcia-1991/
Francisco Javier Benet,7574,11.41,7.09,12.97,1.89,49.99,15.09,41.22,4.8,56.1,272.68,https://www.decathlon2000.com/4634/alhama-de-murcia-1991/
Mark Andrew Bishop,7443,11.08,7.25,12.32,1.92,47.99,14.99,34.62,4.4,54.9,283.28,https://www.decathlon2000.com/4634/alhama-de-murcia-1991/
Antonio Penalver,8534,10.76,7.42,16.5,2.12,49.5,14.32,47.38,5.0,59.32,279.94,https://www.decathlon2000.com/4633/alhama-de-murcia-1992/
Andrei Nazarov,8162,10.88,7.19,13.2,2.12,49.03,14.21,43.24,4.7,58.56,269.57,https://www.decathlon2000.com/4633/alhama-de-murcia-1992/
Valter Külvet,8091,11.18,7.1,15.69,2.0,50.01,15.15,52.14,4.6,58.9,272.89,https://www.decathlon2000.com/4633/alhama-de-murcia-1992/
Alvaro Burrell,8005,10.68,7.1,14.84,1.97,47.06,14.7,40.42,4.6,47.34,258.09,https://www.decathlon2000.com/4633/alhama-de-murcia-1992/
Alex Kruger,7986,11.3,7.24,14.28,2.17,50.47,15.17,45.06,4.7,56.12,273.27,https://www.decathlon2000.com/4632/alhama-de-murcia-1993/
Igor Matsanov,7706,11.34,7.12,15.08,1.9,51.9,14.51,44.36,4.8,52.48,276.61,https://www.decathlon2000.com/4632/alhama-de-murcia-1993/
Andrei Nazarov,7607,11.14,7.1,13.2,2.08,55.14,14.52,40.82,4.7,56.84,278.32,https://www.decathlon2000.com/4632/alhama-de-murcia-1993/
Antonio Penalver,8160,11.0,7.39,16.52,2.03,50.59,14.48,48.42,4.4,60.76,283.54,https://www.decathlon2000.com/4631/alhama-de-murcia-1994/
Francisco Javier Benet,8034,11.15,7.31,13.25,1.97,49.87,14.33,44.1,4.7,62.96,267.8,https://www.decathlon2000.com/4631/alhama-de-murcia-1994/
Erki Nool,7712,10.82,7.44,13.1,2.0,49.33,15.38,38.92,4.8,54.8,291.02,https://www.decathlon2000.com/4631/alhama-de-murcia-1994/
Antonio Penalver,8096,10.98,7.33,16.6,2.02,51.77,14.33,49.6,4.7,55.46,291.49,https://www.decathlon2000.com/4630/alhama-de-murcia-1995/
Sebastian Chmara,7937,11.25,7.53,13.92,2.05,48.9,14.46,36.68,4.8,52.34,266.89,https://www.decathlon2000.com/4630/alhama-de-murcia-1995/
Raul Duany Bueno,7897,11.11,7.24,13.72,2.02,49.08,14.29,40.78,4.2,61.04,268.26,https://www.decathlon2000.com/4630/alhama-de-murcia-1995/
Francisco Javier Benet,8294,10.8,7.54,13.71,2.01,49.39,14.13,45.74,4.8,61.7,273.22,https://www.decathlon2000.com/4629/alhama-de-murcia-1996/
Ramil Ganiyev,7943,10.74,7.45,14.03,2.01,50.08,14.39,45.02,5.0,49.76,299.77,https://www.decathlon2000.com/4629/alhama-de-murcia-1996/
Jaime Penas,7785,10.96,7.39,14.94,1.98,52.02,15.27,44.54,4.7,63.76,306.31,https://www.decathlon2000.com/4629/alhama-de-murcia-1996/
Francisco Javier Benet,8322,10.8,7.6,13.72,2.02,48.5,14.05,41.98,4.9,62.18,274.69,https://www.decathlon2000.com/4628/alhama-de-murcia-1997/
Robert Zmelik,8239,10.61,7.64,14.61,1.9,49.38,13.99,41.0,5.1,60.22,284.2,https://www.decathlon2000.com/4628/alhama-de-murcia-1997/
Antonio Penalver,8182,10.83,7.49,16.6,1.99,50.56,14.24,46.98,4.5,56.56,279.68,https://www.decathlon2000.com/4628/alhama-de-murcia-1997/
Jaime Penas,8128,10.76,7.6,15.49,2.05,50.69,14.58,44.74,4.8,60.2,301.96,https://www.decathlon2000.com/4628/alhama-de-murcia-1997/
Jiri Ryba,8088,11.08,7.52,13.73,2.02,47.93,14.61,43.72,4.7,54.64,270.18,https://www.decathlon2000.com/4628/alhama-de-murcia-1997/
Sebastian Chmara,8556,10.97,7.56,16.03,2.1,48.27,14.32,44.39,5.2,57.25,269.66,https://www.decathlon2000.com/4627/alhama-de-murcia-1998/
Francisco Javier Benet,8526,10.72,7.45,14.57,1.92,48.1,13.83,46.12,5.0,65.37,266.81,https://www.decathlon2000.com/4627/alhama-de-murcia-1998/
Ramil Ganiyev,8058,10.73,7.57,14.21,2.04,50.5,14.31,46.12,5.0,51.5,299.17,https://www.decathlon2000.com/4627/alhama-de-murcia-1998/
Marcel Dost,8000,10.87,7.25,14.32,1.86,49.04,14.56,43.29,5.1,56.13,277.9,https://www.decathlon2000.com/4627/alhama-de-murcia-1998/
Aivo Normak,7461,11.23,7.32,13.3,1.88,50.58,15.61,36.78,5.0,51.15,277.27,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Martin Sigus,7091,11.22,7.4,11.9,1.85,49.93,15.76,32.75,4.5,42.44,266.99,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
