Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Aivo Normak,7461,11.23,7.32,13.3,1.88,50.58,15.61,36.78,5.0,51.15,277.27,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Martin Sigus,7091,11.22,7.4,11.9,1.85,49.93,15.76,32.75,4.5,42.44,266.99,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Marti Soosaar,7012,11.66,7.02,11.8,1.97,50.77,15.48,32.1,4.2,49.09,264.65,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Kristjan Suur,6855,11.21,7.0,9.88,1.82,48.95,14.61,33.4,3.9,38.98,262.4,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Andres Karindi,6612,11.8,6.49,13.81,1.67,52.79,16.06,35.05,4.4,53.53,287.25,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Raul Oja,6566,11.55,6.49,10.49,2.0,50.89,15.72,32.56,3.7,42.9,271.0,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Hendrik Voll,6512,11.75,6.78,12.98,1.97,55.17,15.69,42.41,3.6,47.93,316.92,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Ranel Rünk,6447,11.99,6.73,10.95,1.85,52.55,16.02,34.62,4.2,49.36,294.51,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Jarmo Liiver,6324,11.87,6.62,11.58,1.73,54.23,16.71,34.15,3.8,56.03,276.86,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Taavi Leemet,6312,11.73,6.68,10.52,1.82,50.59,15.46,31.97,3.0,45.54,270.53,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Jüri Naumov,6248,11.28,6.24,12.88,1.73,52.3,16.44,37.22,3.4,39.3,278.81,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Ott Ojanurme,5716,11.45,6.73,6.53,1.97,49.97,17.19,21.26,2.7,33.4,262.21,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Priit Mein,5588,12.09,5.86,11.15,1.76,56.6,17.13,33.75,3.8,46.06,315.85,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Jüri Tiitus,5470,12.13,6.19,11.36,1.73,57.36,17.06,29.76,4.1,38.01,322.73,https://www.decathlon2000.com/785/estonian-championships-tartu-2000/
Indrek Kaseorg,7943,11.39,7.2,14.62,1.94,49.21,14.48,40.92,4.7,65.89,277.29,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Madis Kallas,7019,11.37,6.95,13.21,1.94,52.89,15.51,37.27,4.3,51.49,291.27,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Martin Sigus,6900,11.29,7.22,12.53,1.82,50.07,15.77,30.03,4.4,42.6,275.71,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Hendrik Voll,6529,11.84,6.4,13.37,1.9,53.64,16.14,41.73,3.8,48.19,298.13,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Kristjan Suur,6524,11.48,6.62,10.17,1.74,50.0,15.13,33.78,4.0,39.29,271.97,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Jüri Naumov,6507,11.19,6.39,12.33,1.7,51.0,16.56,36.32,4.1,45.02,284.01,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Tõnis Ukkivi,6289,11.84,7.12,10.27,1.78,53.93,16.16,34.03,3.7,53.49,297.14,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Taavi Leemet,6223,11.77,6.62,10.32,1.78,50.87,15.67,33.45,3.3,42.4,276.86,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Kaupo Kõrven,5829,12.07,6.17,10.28,1.74,52.81,16.87,27.82,3.6,51.15,289.09,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Hannes Simuste,5703,12.36,6.27,11.28,1.74,56.57,18.14,36.73,4.2,49.3,322.25,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Riho Kallaste,5083,12.4,5.74,7.43,1.66,54.1,18.21,28.21,4.1,33.53,297.97,https://www.decathlon2000.com/753/estonian-championships-tartu-2001/
Villu Sepp,7012,11.34,6.65,12.09,1.96,51.44,15.34,37.81,4.25,54.04,293.17,https://www.decathlon2000.com/752/estonian-championships-haapsalu-2002/
Ranel Rünk,6887,11.42,6.65,12.35,1.99,52.5,15.76,36.25,4.25,48.37,283.46,https://www.decathlon2000.com/752/estonian-championships-haapsalu-2002/
Marti Soosaar,6854,11.58,6.7,11.75,1.9,51.0,15.9,35.67,4.25,41.08,256.74,https://www.decathlon2000.com/752/estonian-championships-haapsalu-2002/
Hendrik Voll,6750,11.64,6.64,13.98,1.9,54.23,15.9,47.86,3.85,49.02,309.45,https://www.decathlon2000.com/752/estonian-championships-haapsalu-2002/
