Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Ain Arro,7525,11.14,6.99,14.09,1.85,52.13,15.01,45.9,4.7,57.02,290.46,https://www.decathlon2000.com/769/memorial-of-fred-kudu-tartu-1990/
Fredrik Ahlström,7519,11.36,7.41,14.81,1.91,50.08,15.37,42.3,3.6,60.34,270.1,https://www.decathlon2000.com/769/memorial-of-fred-kudu-tartu-1990/
Oleg Kornikov,6951,11.27,6.82,13.51,1.85,52.15,15.25,40.38,4.0,45.9,283.97,https://www.decathlon2000.com/769/memorial-of-fred-kudu-tartu-1990/
Toomas Kivend,6685,11.68,6.46,12.08,1.85,53.93,15.6,41.7,4.2,49.6,288.89,https://www.decathlon2000.com/769/memorial-of-fred-kudu-tartu-1990/
Raido Mägi,6668,11.72,6.57,13.96,2.0,52.32,17.01,35.98,4.1,48.4,294.44,https://www.decathlon2000.com/769/memorial-of-fred-kudu-tartu-1990/
Tomas Andersson,6320,12.05,5.98,11.07,1.82,52.31,16.65,36.52,3.4,58.42,266.74,https://www.decathlon2000.com/769/memorial-of-fred-kudu-tartu-1990/
Raivo Tsopatalo,6078,11.86,6.54,12.38,1.73,54.84,16.89,39.3,3.6,53.68,319.86,https://www.decathlon2000.com/769/memorial-of-fred-kudu-tartu-1990/
Tarmo Adamberg,7429,11.52,6.89,11.57,1.89,51.96,15.36,40.0,4.95,61.0,267.37,https://www.decathlon2000.com/770/memorial-of-fred-kudu-tartu-1991/
Andres Aavik,7147,11.79,6.83,13.73,1.86,52.39,15.38,41.48,4.5,51.12,274.17,https://www.decathlon2000.com/770/memorial-of-fred-kudu-tartu-1991/
Oleg Kornikov,6968,11.5,6.71,14.06,1.86,52.07,15.46,41.9,3.8,45.72,269.16,https://www.decathlon2000.com/770/memorial-of-fred-kudu-tartu-1991/
Robert Jaani,6822,11.75,6.65,12.01,1.86,51.57,15.7,35.46,3.8,52.52,257.12,https://www.decathlon2000.com/770/memorial-of-fred-kudu-tartu-1991/
Märt Toom,6464,11.54,6.36,12.61,1.83,51.85,15.81,33.08,3.8,50.94,295.98,https://www.decathlon2000.com/770/memorial-of-fred-kudu-tartu-1991/
