Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Uwe Freimuth,8473,11.14,7.5,16.26,1.96,48.79,14.69,47.5,4.9,69.86,272.13,https://www.decathlon2000.com/4399/gotzis-1985/
Torsten Voss,8424,10.59,7.72,14.59,2.11,48.3,14.23,42.72,5.0,59.02,290.41,https://www.decathlon2000.com/4399/gotzis-1985/
Aleksandr Nevski,8409,10.95,7.35,14.99,2.08,49.29,14.76,46.12,4.6,68.16,261.09,https://www.decathlon2000.com/4399/gotzis-1985/
Dave Steen,8253,11.21,7.47,12.53,2.11,47.58,15.1,42.08,5.1,60.16,259.87,https://www.decathlon2000.com/4399/gotzis-1985/
Christian Schenk,8163,11.21,7.61,15.2,2.2,49.09,15.02,40.2,4.0,66.48,266.57,https://www.decathlon2000.com/4399/gotzis-1985/
Ulf Behrendt,7964,10.99,7.15,15.9,1.96,48.2,15.81,47.38,4.2,57.94,263.13,https://www.decathlon2000.com/4399/gotzis-1985/
Frederic Sacco,7828,11.22,7.34,15.98,1.96,50.82,15.22,43.86,4.7,55.82,282.24,https://www.decathlon2000.com/4399/gotzis-1985/
Michael Neugebauer,7808,11.01,7.23,12.16,2.08,48.79,14.28,41.44,4.2,56.6,273.35,https://www.decathlon2000.com/4399/gotzis-1985/
Roland Marloye,7770,11.02,7.46,12.95,2.02,49.75,14.18,42.52,4.2,56.06,283.64,https://www.decathlon2000.com/4399/gotzis-1985/
Eugene Gilkes,7740,10.75,7.1,13.98,1.9,46.91,15.44,39.9,4.3,47.94,252.82,https://www.decathlon2000.com/4399/gotzis-1985/
Janusz Lesniewicz,7730,11.23,7.16,13.8,2.02,49.29,15.05,40.36,4.5,57.46,275.73,https://www.decathlon2000.com/4399/gotzis-1985/
Cecko Mitrakiyev,7685,11.27,7.11,14.15,1.96,50.5,15.25,41.0,4.4,58.28,261.88,https://www.decathlon2000.com/4399/gotzis-1985/
Andrzej Wyzykowski,7600,11.05,6.69,13.81,1.96,49.65,14.76,44.16,4.0,67.16,292.77,https://www.decathlon2000.com/4399/gotzis-1985/
Thomas Rizzi,7578,10.65,7.09,14.7,1.96,47.93,16.09,39.96,4.0,51.96,272.17,https://www.decathlon2000.com/4399/gotzis-1985/
Roman Hraban,7529,11.14,7.06,15.35,1.93,50.03,15.73,45.76,4.5,55.66,305.67,https://www.decathlon2000.com/4399/gotzis-1985/
Holger Schmidt,7466,10.91,7.04,15.25,1.99,49.75,15.0,44.96,4.0,54.1,319.07,https://www.decathlon2000.com/4399/gotzis-1985/
Jürgen Mandl,7388,11.13,7.09,13.1,1.96,49.89,14.56,35.46,4.2,56.3,288.17,https://www.decathlon2000.com/4399/gotzis-1985/
Armin Spörri,7375,11.46,7.09,14.0,1.99,51.74,15.34,43.44,3.8,57.18,273.91,https://www.decathlon2000.com/4399/gotzis-1985/
Ivan Krastev,7367,11.39,7.04,14.46,1.99,51.79,15.55,43.94,4.3,52.46,288.68,https://www.decathlon2000.com/4399/gotzis-1985/
Marc Kemp,7359,11.14,7.18,11.51,1.93,49.8,15.62,39.02,4.5,56.82,283.25,https://www.decathlon2000.com/4399/gotzis-1985/
Wolfgang Spann,7280,11.46,6.7,14.45,1.81,51.23,15.04,38.66,4.0,68.74,283.84,https://www.decathlon2000.com/4399/gotzis-1985/
József Hoffer,7260,11.55,6.68,14.44,1.9,51.75,15.61,42.92,4.9,64.38,293.86,https://www.decathlon2000.com/4399/gotzis-1985/
Martin Machura,7258,11.09,6.91,15.3,1.96,50.44,16.99,44.86,4.4,53.92,312.62,https://www.decathlon2000.com/4399/gotzis-1985/
Guido Kratschmer,8519,10.82,7.76,16.62,1.93,48.75,14.09,48.42,4.6,63.82,272.36,https://www.decathlon2000.com/4398/gotzis-1986/
Uwe Freimuth,8322,11.23,7.57,15.8,1.93,49.5,14.79,47.98,4.9,64.78,269.22,https://www.decathlon2000.com/4398/gotzis-1986/
Thomas Fahner,8170,10.82,7.29,13.96,1.9,47.9,14.96,43.52,5.1,61.88,271.47,https://www.decathlon2000.com/4398/gotzis-1986/
Oleksandr Apaichev,8016,11.45,7.23,15.76,1.9,50.38,14.43,43.46,4.5,68.62,268.54,https://www.decathlon2000.com/4398/gotzis-1986/
Jens Petersson,7863,10.83,7.66,14.82,1.9,48.21,14.91,42.38,4.5,52.58,287.02,https://www.decathlon2000.com/4398/gotzis-1986/
Robert de Wit,7846,11.31,7.04,14.28,1.9,49.48,14.46,42.34,4.9,54.72,266.9,https://www.decathlon2000.com/4398/gotzis-1986/
Aleksandr Nevski,7843,11.16,7.23,15.22,1.96,50.19,15.13,44.42,4.6,58.26,279.75,https://www.decathlon2000.com/4398/gotzis-1986/
Nikolai Afanasyev,7762,11.18,6.93,12.2,1.96,49.15,14.62,38.16,4.7,63.74,266.51,https://www.decathlon2000.com/4398/gotzis-1986/
Hans-Joachim Häberle,7742,11.23,7.29,14.28,1.81,48.96,15.57,44.36,4.4,61.46,265.03,https://www.decathlon2000.com/4398/gotzis-1986/
Andreas Rizzi,7698,10.83,7.29,15.35,1.9,49.32,15.37,46.0,4.3,48.6,279.5,https://www.decathlon2000.com/4398/gotzis-1986/
Jürgen Mandl,7646,11.15,7.2,13.63,1.9,49.9,14.72,40.58,4.4,65.22,291.46,https://www.decathlon2000.com/4398/gotzis-1986/
Béla Vágó,7631,11.18,7.45,14.04,2.05,50.24,16.02,41.96,4.7,55.54,296.61,https://www.decathlon2000.com/4398/gotzis-1986/
Lars Warming,7624,11.17,6.96,12.57,1.93,48.31,14.71,40.68,4.7,45.72,259.68,https://www.decathlon2000.com/4398/gotzis-1986/
Stephan Niklaus,7624,11.1,6.77,14.81,1.96,50.18,15.41,45.52,4.0,72.24,300.76,https://www.decathlon2000.com/4398/gotzis-1986/
