Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Petr Kratky,7591,11.1,7.03,13.83,1.83,50.0,14.4,40.1,4.2,56.6,271.8,https://www.decathlon2000.com/4410/gotzis-1975/
Rumen Petrov,7563,11.1,7.23,13.86,1.98,50.5,15.7,44.94,3.8,55.42,274.7,https://www.decathlon2000.com/4410/gotzis-1975/
Claus Marek,7512,10.8,7.17,12.5,1.89,48.5,15.0,36.54,4.2,50.02,271.3,https://www.decathlon2000.com/4410/gotzis-1975/
Runald Beckman,7406,10.6,7.16,12.84,1.8,51.0,14.9,43.78,4.2,64.18,328.9,https://www.decathlon2000.com/4410/gotzis-1975/
Inge Hermansson,7316,11.0,6.84,13.47,1.83,49.8,15.2,43.84,4.2,52.24,301.4,https://www.decathlon2000.com/4410/gotzis-1975/
Razvigor Yankov,7188,10.8,6.77,14.45,1.83,51.0,15.7,40.56,4.2,51.22,309.7,https://www.decathlon2000.com/4410/gotzis-1975/
Winfried Hartweck,7120,11.1,7.07,12.75,1.86,50.8,15.3,38.88,3.8,49.44,285.1,https://www.decathlon2000.com/4410/gotzis-1975/
Hans-Dieter Tenhaff,7089,11.1,6.92,13.4,1.95,52.6,15.6,41.1,4.0,49.44,305.0,https://www.decathlon2000.com/4410/gotzis-1975/
Jaromir Fric,7014,11.2,6.63,11.75,1.83,51.1,15.0,41.86,4.2,47.5,294.1,https://www.decathlon2000.com/4410/gotzis-1975/
Detlef Schumacher,6983,11.4,6.69,14.65,1.83,51.5,15.2,38.12,3.6,50.6,286.3,https://www.decathlon2000.com/4410/gotzis-1975/
Georg Werthner,6968,11.5,7.09,12.15,1.83,50.7,15.5,32.08,3.8,58.44,277.7,https://www.decathlon2000.com/4410/gotzis-1975/
František Neckar,6882,11.1,6.69,13.08,1.75,53.5,15.0,44.2,4.0,47.46,308.2,https://www.decathlon2000.com/4410/gotzis-1975/
Guido Kratschmer,8381,10.7,7.83,14.68,1.95,48.5,14.1,44.86,4.3,69.08,271.8,https://www.decathlon2000.com/4409/gotzis-1976/
Josef Zeilbauer,8310,10.9,7.21,14.68,2.1,49.4,14.2,44.62,4.7,64.04,272.6,https://www.decathlon2000.com/4409/gotzis-1976/
Yves Leroy,7975,10.8,7.56,14.9,1.92,48.6,14.6,38.12,4.8,57.66,289.1,https://www.decathlon2000.com/4409/gotzis-1976/
Siegfried Stark,7915,11.4,7.13,14.7,1.89,49.4,15.2,43.56,4.5,67.14,263.2,https://www.decathlon2000.com/4409/gotzis-1976/
Ryszard Skowronek,7880,10.9,7.33,13.23,1.92,49.5,14.7,42.78,4.8,59.72,286.6,https://www.decathlon2000.com/4409/gotzis-1976/
Eberhard Stroot,7852,10.9,7.26,13.22,1.95,47.5,15.0,40.08,4.0,59.18,262.3,https://www.decathlon2000.com/4409/gotzis-1976/
Eckart Müller,7733,11.3,7.33,13.02,2.07,50.4,14.9,45.0,4.3,54.06,278.7,https://www.decathlon2000.com/4409/gotzis-1976/
Lennart Hedmark,7674,11.2,7.05,15.27,1.75,50.2,14.5,46.82,4.2,72.74,308.2,https://www.decathlon2000.com/4409/gotzis-1976/
Kenneth Riggberger,7543,11.0,6.81,13.9,1.75,48.6,15.2,42.96,4.1,62.6,278.0,https://www.decathlon2000.com/4409/gotzis-1976/
Georg Werthner,7523,11.3,6.93,13.31,1.95,50.0,15.3,33.98,4.4,65.98,274.4,https://www.decathlon2000.com/4409/gotzis-1976/
Kurt Bendlin,7431,11.2,6.8,14.65,1.7,49.9,16.0,45.0,4.1,66.26,278.4,https://www.decathlon2000.com/4409/gotzis-1976/
Jaromir Fric,7316,11.2,7.04,12.67,1.86,50.2,15.4,42.0,4.4,55.24,298.3,https://www.decathlon2000.com/4409/gotzis-1976/
Pavel Veleba,7266,10.9,6.93,13.15,1.83,49.5,16.0,41.28,3.7,55.7,279.3,https://www.decathlon2000.com/4409/gotzis-1976/
Ivan Spalovsky,7257,11.6,6.99,13.44,1.92,51.0,15.1,42.0,4.0,48.16,275.2,https://www.decathlon2000.com/4409/gotzis-1976/
Erling Hansen,7256,11.8,7.14,12.76,1.95,51.0,15.3,41.04,4.2,48.52,273.4,https://www.decathlon2000.com/4409/gotzis-1976/
Hermann Muller,7251,10.7,7.67,13.25,1.89,48.0,15.2,37.2,3.1,51.06,298.3,https://www.decathlon2000.com/4409/gotzis-1976/
Josef Zeilbauer,8063,11.18,7.22,15.11,2.06,49.77,14.66,43.14,4.4,64.12,273.5,https://www.decathlon2000.com/4408/gotzis-1977/
Fred Dixon,7954,10.9,7.46,14.77,1.91,48.7,14.66,44.58,4.1,57.82,273.3,https://www.decathlon2000.com/4408/gotzis-1977/
Daley Thompson,7922,10.71,7.72,13.38,2.0,48.35,15.24,37.28,4.2,55.78,263.8,https://www.decathlon2000.com/4408/gotzis-1977/
Valeri Kachanov,7838,11.02,7.63,13.89,2.03,48.36,14.73,42.46,3.9,49.76,270.3,https://www.decathlon2000.com/4408/gotzis-1977/
Fred Samara,7677,10.71,7.27,13.48,1.85,49.26,14.85,40.18,4.3,56.7,282.8,https://www.decathlon2000.com/4408/gotzis-1977/
Ludek Pernica,7612,11.44,7.08,13.53,1.97,50.31,15.02,40.48,4.6,51.9,268.6,https://www.decathlon2000.com/4408/gotzis-1977/
Leonid Litvinenko,7609,11.35,6.77,14.13,1.88,49.53,15.06,44.72,4.2,62.84,279.1,https://www.decathlon2000.com/4408/gotzis-1977/
Fritz Mehl,7488,11.05,6.99,12.84,1.94,47.95,15.52,37.86,3.9,49.16,257.3,https://www.decathlon2000.com/4408/gotzis-1977/
Petr Kratky,7485,11.35,6.95,13.84,1.94,50.26,15.01,40.58,4.3,53.86,279.7,https://www.decathlon2000.com/4408/gotzis-1977/
Razvigor Yankov,7482,11.35,7.03,14.99,1.88,49.68,15.7,47.78,4.2,55.42,300.7,https://www.decathlon2000.com/4408/gotzis-1977/
Dimcho Mitev,7324,11.13,7.08,13.93,1.88,50.91,15.01,38.04,4.0,51.76,280.7,https://www.decathlon2000.com/4408/gotzis-1977/
Theo Steinacker,7271,11.45,7.13,13.47,1.88,49.97,15.98,39.42,3.8,53.2,265.4,https://www.decathlon2000.com/4408/gotzis-1977/
Wolfgang Berchtold,7048,11.21,6.96,13.08,1.91,50.59,15.53,36.16,3.6,46.64,273.7,https://www.decathlon2000.com/4408/gotzis-1977/
Guido Kratschmer,8410,10.78,7.77,16.06,1.88,47.98,14.08,46.4,4.5,60.84,266.46,https://www.decathlon2000.com/4407/gotzis-1978/
Daley Thompson,8238,10.77,7.95,13.89,2.03,47.76,14.85,41.4,4.6,56.9,269.11,https://www.decathlon2000.com/4407/gotzis-1978/
Josef Zeilbauer,8104,11.29,7.11,14.64,2.0,49.76,14.59,45.28,4.5,66.56,263.32,https://www.decathlon2000.com/4407/gotzis-1978/
Rainer Pottel,8083,11.03,7.47,14.12,1.97,47.9,14.63,41.1,4.6,54.88,261.07,https://www.decathlon2000.com/4407/gotzis-1978/
Dietmar Schauerhammer,8062,10.86,7.45,14.1,1.91,47.03,15.03,42.54,4.6,59.6,274.4,https://www.decathlon2000.com/4407/gotzis-1978/
Jens Schulze,7910,10.81,7.06,14.38,1.91,47.77,14.8,41.02,4.5,49.78,261.48,https://www.decathlon2000.com/4407/gotzis-1978/
Kenneth Riggberger,7825,11.17,6.89,14.37,1.8,48.38,15.11,47.14,4.4,62.84,4.2982,https://www.decathlon2000.com/4407/gotzis-1978/
Wolfgang Kühne,7826,10.88,7.46,14.47,1.94,48.97,15.93,45.5,4.4,56.1,284.18,https://www.decathlon2000.com/4407/gotzis-1978/
Atanas Andonov,7800,11.36,7.46,14.31,1.94,50.81,14.74,44.8,4.6,52.84,273.48,https://www.decathlon2000.com/4407/gotzis-1978/
Valeri Kachanov,7794,11.12,7.38,13.59,2.06,48.81,14.73,44.02,3.8,50.04,265.02,https://www.decathlon2000.com/4407/gotzis-1978/
Thierry Dubois,7784,11.02,7.44,14.68,2.06,49.65,14.73,41.46,3.8,62.48,294.15,https://www.decathlon2000.com/4407/gotzis-1978/
