Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Roman Šebrle,8697,10.94,7.84,16.47,2.12,48.99,14.39,47.66,4.8,68.87,280.44,https://www.decathlon2000.com/1575/kladno-2007/
Dmitri Karpov,8553,10.9,7.54,16.36,2.03,47.75,14.42,52.24,5.0,55.66,280.28,https://www.decathlon2000.com/1575/kladno-2007/
Romain Barras,8298,11.17,7.1,15.12,2.0,48.5,14.3,45.39,5.0,62.06,267.31,https://www.decathlon2000.com/1575/kladno-2007/
Tomaš Dvorak,8020,11.09,7.63,16.7,1.91,50.6,14.98,42.22,4.6,66.56,289.87,https://www.decathlon2000.com/1575/kladno-2007/
Josef Karas,7922,11.04,7.42,14.79,1.97,49.89,15.21,50.05,4.5,51.47,274.24,https://www.decathlon2000.com/1575/kladno-2007/
Janis Karlivans,7649,11.36,7.3,15.3,2.0,49.65,15.14,37.9,4.6,54.35,286.33,https://www.decathlon2000.com/1575/kladno-2007/
Kyle McCarthy,7392,11.5,6.97,14.02,2.0,50.26,15.25,37.1,4.5,53.6,281.99,https://www.decathlon2000.com/1575/kladno-2007/
Guillaume Barras,7231,11.35,6.7,12.89,1.82,49.92,15.01,39.15,4.4,52.74,272.9,https://www.decathlon2000.com/1575/kladno-2007/
Knut Harald Sommerfeldt,7206,11.47,6.84,13.86,1.82,53.35,15.13,40.61,4.5,61.99,293.02,https://www.decathlon2000.com/1575/kladno-2007/
Maurice Smith,8434,10.81,7.31,17.78,1.98,48.76,13.91,52.81,4.75,50.83,280.96,https://www.decathlon2000.com/1572/kladno-2008/
Roman Šebrle,8076,11.16,7.51,15.32,1.95,50.13,15.15,46.91,4.75,66.05,286.76,https://www.decathlon2000.com/1572/kladno-2008/
Roland Schwarzl,7787,11.29,7.41,14.86,1.95,51.2,14.7,44.79,4.95,50.31,286.25,https://www.decathlon2000.com/1572/kladno-2008/
Stanislav Sajdok,7683,10.64,7.38,11.51,2.16,50.07,13.87,33.85,3.75,60.91,282.98,https://www.decathlon2000.com/1572/kladno-2008/
William Frullani,7560,11.01,7.21,14.2,1.92,50.4,14.83,41.85,4.65,51.04,294.78,https://www.decathlon2000.com/1572/kladno-2008/
Brent Newdick,7551,11.26,7.24,13.47,1.95,51.14,14.89,42.12,4.65,53.75,286.42,https://www.decathlon2000.com/1572/kladno-2008/
Camille Vandendriessche,7508,11.77,6.67,14.83,1.89,50.9,15.48,45.03,4.85,57.73,278.57,https://www.decathlon2000.com/1572/kladno-2008/
Kyle McCarthy,7311,11.69,6.73,14.38,1.98,51.02,15.74,40.5,4.45,59.24,287.43,https://www.decathlon2000.com/1572/kladno-2008/
Wilfried Gouacide,7310,10.78,7.54,13.99,1.83,49.93,16.13,40.58,4.25,57.23,314.63,https://www.decathlon2000.com/1572/kladno-2008/
Antonin Vacha,7295,11.16,7.21,13.13,1.95,50.34,15.18,39.97,4.35,48.71,293.72,https://www.decathlon2000.com/1572/kladno-2008/
Adam Nejedly,7232,11.22,7.09,12.63,1.98,50.25,14.86,38.16,4.15,47.02,284.29,https://www.decathlon2000.com/1572/kladno-2008/
Pavel Baar,7196,10.97,7.15,12.91,1.95,49.53,15.24,30.98,4.05,52.83,283.86,https://www.decathlon2000.com/1572/kladno-2008/
David Sazima,6992,11.37,6.72,11.18,1.98,50.99,15.14,29.61,4.65,54.72,293.35,https://www.decathlon2000.com/1572/kladno-2008/
Tomaš Nešvera,6851,11.2,7.04,12.49,1.89,52.07,16.2,30.03,4.45,53.19,294.56,https://www.decathlon2000.com/1572/kladno-2008/
Maurice Smith,8157,10.88,7.25,14.67,1.97,48.35,14.09,51.45,4.7,53.14,286.43,https://www.decathlon2000.com/1544/kladno-2009/
Roman Šebrle,8058,11.15,7.66,14.76,2.06,50.72,14.43,43.54,4.6,63.56,292.9,https://www.decathlon2000.com/1544/kladno-2009/
Dmitri Karpov,8029,11.07,6.97,16.02,2.0,50.64,14.63,50.79,4.9,55.89,293.23,https://www.decathlon2000.com/1544/kladno-2009/
Brent Newdick,7849,10.89,7.32,14.43,1.97,50.16,14.38,42.82,4.5,54.79,282.12,https://www.decathlon2000.com/1544/kladno-2009/
Slaven Dizdarevic,7522,11.06,7.16,15.02,1.94,49.87,14.35,35.69,4.3,56.47,298.66,https://www.decathlon2000.com/1544/kladno-2009/
Ivan Scolfaro da Silva,7511,11.27,7.0,13.57,1.97,50.65,15.14,37.44,4.6,57.01,276.2,https://www.decathlon2000.com/1544/kladno-2009/
Adam Nejedly,7473,11.06,7.1,12.52,2.0,50.27,14.41,38.24,4.5,46.8,278.06,https://www.decathlon2000.com/1544/kladno-2009/
Kyle McCarthy,7408,11.56,6.83,13.75,1.94,50.43,15.28,39.81,4.3,59.76,273.18,https://www.decathlon2000.com/1544/kladno-2009/
Rifat Artikov,7355,11.12,6.16,15.16,1.94,51.07,14.7,42.04,4.6,53.92,300.7,https://www.decathlon2000.com/1544/kladno-2009/
Andriy Klimarchuk,7143,11.31,7.04,13.4,2.0,52.23,15.17,39.34,4.3,43.31,285.62,https://www.decathlon2000.com/1544/kladno-2009/
Patrick Spinner,7055,11.22,7.22,12.69,1.79,51.52,15.41,33.45,4.1,59.05,283.13,https://www.decathlon2000.com/1544/kladno-2009/
Szymon Czapiewski,6990,11.32,6.96,11.8,1.97,52.93,15.27,40.81,4.5,49.68,310.98,https://www.decathlon2000.com/1544/kladno-2009/
