Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Christian Plaziat,7944,10.9,7.52,14.08,2.13,50.49,14.87,44.24,4.3,51.82,271.18,https://www.decathlon2000.com/4414/talence-1986/
Jens Petersson,7852,10.97,7.41,14.33,1.95,49.06,14.96,45.16,4.6,53.56,284.49,https://www.decathlon2000.com/4414/talence-1986/
Dave Johnson,7841,11.12,7.12,12.66,2.01,48.68,14.37,42.74,4.6,64.56,268.72,https://www.decathlon2000.com/4414/talence-1986/
Thomas Fahner,7838,11.08,7.06,14.39,1.92,49.8,14.79,41.7,4.8,60.56,278.3,https://www.decathlon2000.com/4414/talence-1986/
Andre Preysing,7715,11.41,7.07,12.78,2.1,48.69,14.93,40.02,4.8,49.0,270.4,https://www.decathlon2000.com/4414/talence-1986/
Gary Kinder,7671,11.13,7.14,15.02,1.89,51.28,15.28,45.12,4.8,65.54,312.05,https://www.decathlon2000.com/4414/talence-1986/
Hans-Joachim Häberle,7593,11.26,7.07,13.62,1.86,49.9,15.64,43.74,4.4,59.04,263.58,https://www.decathlon2000.com/4414/talence-1986/
Patrick Gellens,7499,11.02,7.13,13.38,1.95,50.15,15.51,41.02,4.5,48.68,270.83,https://www.decathlon2000.com/4414/talence-1986/
Philippe Collet,7011,10.89,6.66,12.2,1.8,52.84,15.94,36.32,5.61,50.58,324.35,https://www.decathlon2000.com/4414/talence-1986/
Pavel Tarnovetski,8220,11.17,7.34,14.82,2.05,49.24,15.04,48.52,5.02,57.14,272.98,https://www.decathlon2000.com/4413/talence-1987/
Christian Plaziat,8121,10.91,7.62,14.01,2.02,49.31,14.59,41.0,4.82,58.22,272.94,https://www.decathlon2000.com/4413/talence-1987/
William Motti,8077,11.35,7.0,15.11,2.11,48.98,14.77,47.58,4.52,62.62,280.97,https://www.decathlon2000.com/4413/talence-1987/
Gary Kinder,8039,10.96,7.15,15.59,1.96,50.0,15.03,47.16,5.02,64.16,304.09,https://www.decathlon2000.com/4413/talence-1987/
Dave Steen,8037,11.25,7.3,13.35,1.9,47.97,14.86,42.44,5.02,62.58,268.24,https://www.decathlon2000.com/4413/talence-1987/
Andre Preysing,7944,11.29,7.18,12.68,2.14,47.87,14.87,40.38,5.02,52.48,274.74,https://www.decathlon2000.com/4413/talence-1987/
Timothy Bright,7929,11.18,7.05,13.77,2.05,49.53,14.38,40.06,5.22,54.26,283.47,https://www.decathlon2000.com/4413/talence-1987/
Michael Smith,7738,11.08,7.07,13.28,1.99,47.69,14.81,41.58,4.12,59.42,273.52,https://www.decathlon2000.com/4413/talence-1987/
Rene Günther,7623,11.69,6.77,14.37,1.99,50.67,15.02,45.02,4.42,59.16,269.9,https://www.decathlon2000.com/4413/talence-1987/
Karl-Heinz Fichtner,8077,11.41,7.18,15.05,1.99,52.03,15.71,43.6,5.02,51.8,286.84,https://www.decathlon2000.com/4413/talence-1987/
Greg Richards,7534,11.39,7.2,13.96,1.9,50.14,15.02,47.02,4.42,52.6,288.5,https://www.decathlon2000.com/4413/talence-1987/
Patrick Gellens,7377,11.33,7.05,13.13,1.96,50.32,15.87,40.94,4.72,49.88,280.59,https://www.decathlon2000.com/4413/talence-1987/
Ivan Babi,7377,11.38,6.94,13.76,1.96,50.75,14.32,37.38,4.62,46.38,282.96,https://www.decathlon2000.com/4413/talence-1987/
Thierry Vigneron,7038,11.61,6.85,10.86,1.87,52.74,15.06,33.12,5.63,47.44,295.74,https://www.decathlon2000.com/4413/talence-1987/
