Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
John Sayre,8381,10.86,7.41,14.22,2.0,49.98,14.84,46.08,5.3,67.68,277.07,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Michael Ramos,8156,10.69,7.35,14.21,2.03,50.08,14.9,44.74,4.9,64.76,287.94,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Timothy Bright,8068,10.73,7.49,13.19,2.06,49.16,14.09,39.16,5.0,53.1,282.34,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Dave Johnson,7911,10.77,7.07,14.19,2.0,48.92,14.65,44.78,4.0,63.12,276.11,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Robert Muzzio,7905,11.14,6.91,15.24,2.0,49.76,14.75,47.08,4.5,57.32,276.57,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Gary Kinder,7654,11.35,6.95,14.86,1.94,52.39,15.5,45.7,4.7,68.9,298.74,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Steve Odgers,7575,11.12,6.74,13.89,1.85,48.18,15.1,42.22,4.0,61.9,266.7,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Garret Armstrong,7547,10.68,7.4,12.48,1.82,49.02,14.87,37.78,4.8,45.8,276.41,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Ernest White,7346,11.37,6.6,11.81,1.91,50.92,15.03,39.16,4.4,62.06,267.5,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Chris Branham,7295,11.55,7.32,12.05,2.09,53.67,14.68,31.78,4.6,58.64,290.34,https://www.decathlon2000.com/4483/usa-championships-indianapolis-1985/
Dave Johnson,8203,11.23,7.3,14.08,2.07,49.53,14.79,46.16,4.9,62.78,270.06,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Steve Erickson,8030,11.23,7.06,14.5,1.92,48.83,14.82,44.32,5.0,61.08,269.89,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Gary Kinder,7857,11.34,7.08,16.04,1.98,51.45,15.57,47.24,4.7,68.16,297.35,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Tony Allen-Cooksey,7839,11.54,7.6,14.49,2.01,49.8,15.0,42.24,4.8,56.14,284.73,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Steve Odgers,7757,11.29,6.9,14.38,1.89,48.59,15.52,45.4,4.2,62.46,258.58,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Shannon Sullivan,7750,11.41,7.05,13.31,1.95,49.33,15.56,40.78,4.9,57.48,258.81,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Edwin Brown,7679,11.46,7.16,12.29,2.04,50.4,14.97,41.5,4.4,57.14,257.05,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Jay Thorson,7573,11.84,6.89,12.79,2.01,51.53,14.52,41.66,4.7,56.4,264.56,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Kevin McGorty,7513,11.59,6.99,13.0,2.07,50.69,15.03,36.6,4.6,53.56,265.15,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
James Connolly,7509,11.55,6.83,14.34,1.98,50.75,15.54,40.98,4.3,69.62,289.05,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Joe Farinella,7494,11.57,7.16,14.36,1.95,50.67,15.0,46.56,4.0,57.04,284.34,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Heinz Fritz Hinrichs,7477,11.17,6.71,11.56,1.98,48.69,15.61,45.32,4.6,51.28,274.0,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Sheldon Blockburger,7472,11.27,7.59,13.56,1.98,49.84,14.92,37.1,3.9,54.98,278.75,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Jon Robert Hallingstad,7245,11.88,6.68,13.87,1.89,51.36,16.16,41.2,4.3,61.26,263.22,https://www.decathlon2000.com/4482/usa-championships-eugene-1986/
Timothy Bright,8340,10.9,7.31,14.35,2.11,49.24,14.16,41.12,5.5,57.68,284.49,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Robert Muzzio,8134,10.88,7.15,17.0,1.93,49.35,14.85,49.42,4.4,60.02,276.36,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Gary Kinder,8053,10.78,7.26,15.38,1.9,50.17,15.58,47.54,4.9,68.44,295.3,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
James Connolly,8023,10.85,7.12,15.05,1.93,49.88,15.08,38.58,4.5,74.36,270.46,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Keith Robinson,7912,10.92,7.11,14.52,1.99,48.76,14.48,42.28,4.5,58.22,281.4,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Michael Gonzalez,7865,11.28,7.06,13.47,1.99,50.62,15.97,44.36,4.9,66.76,268.94,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Sheldon Blockburger,7769,10.6,7.59,14.25,1.99,49.94,14.91,33.32,4.4,60.6,286.91,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Jay Thorson,7653,11.2,6.96,12.51,1.99,50.61,14.81,43.06,4.8,53.42,272.82,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Edwin Brown,7609,11.5,7.12,13.17,2.05,51.3,15.11,39.04,4.3,59.7,259.68,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Kristoff Szabadhegy,7493,11.18,7.41,13.79,1.9,49.55,15.17,38.88,4.6,48.42,281.76,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Tony Allen-Cooksey,7422,11.28,7.71,13.1,1.96,50.6,15.8,40.7,4.1,53.84,279.41,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Daniel Sheehan,7351,11.67,6.76,14.17,1.87,51.36,16.15,46.02,4.3,59.32,267.06,https://www.decathlon2000.com/4481/usa-championships-san-jose-1987/
Gary Kinder,8293,10.82,7.2,16.34,2.02,49.74,14.95,47.72,5.0,66.32,295.39,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Timothy Bright,8287,10.95,7.38,13.59,2.05,49.44,14.4,41.62,5.6,60.54,285.12,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Dave Johnson,8245,11.14,7.36,14.63,2.05,49.27,14.84,45.64,4.7,68.22,273.92,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Shannon Sullivan,8076,11.24,6.91,13.4,1.99,49.41,14.81,46.66,5.2,57.46,261.46,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Bart Goodell,7973,11.3,6.91,15.27,2.05,50.94,14.82,47.16,4.9,61.64,287.68,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Steve Erickson,7950,11.18,6.78,14.16,1.93,49.83,14.96,43.42,5.0,62.64,263.01,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Jay Thorson,7937,11.1,6.86,12.01,1.96,49.56,14.22,46.26,4.9,57.0,262.19,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
James Connolly,7872,11.2,6.83,13.95,1.99,50.03,15.1,40.0,4.7,71.36,274.1,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Kristoff Szabadhegy,7826,11.27,7.25,13.66,1.93,49.96,14.9,42.5,4.7,57.64,263.42,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
Michael Gonzalez,7817,11.39,6.75,13.14,2.05,50.27,15.13,45.22,4.8,63.2,274.07,https://www.decathlon2000.com/4477/usa-championships-indianapolis-1988/
